timestamp,equity,return,rolling_30d_sharpe
2026-06-19 00:00:00+00:00,10000.0,0.0,
2026-06-20 00:00:00+00:00,10000.0,0.0,
2026-06-21 00:00:00+00:00,10000.0,0.0,
2026-06-22 00:00:00+00:00,10000.0,0.0,
2026-06-23 00:00:00+00:00,10000.0,0.0,
2026-06-24 00:00:00+00:00,10000.0,0.0,
2026-06-25 00:00:00+00:00,10000.0,0.0,
2026-06-26 00:00:00+00:00,10000.0,0.0,
2026-06-27 00:00:00+00:00,10000.0,0.0,
2026-06-28 00:00:00+00:00,10000.0,0.0,
2026-06-29 00:00:00+00:00,10000.0,0.0,
2026-06-30 00:00:00+00:00,10000.0,0.0,
2026-07-01 00:00:00+00:00,10000.0,0.0,
2026-07-02 00:00:00+00:00,9996.042579220022,-0.00039574207799775163,
2026-07-03 00:00:00+00:00,9985.343609220023,-0.0010703205708867403,
2026-07-04 00:00:00+00:00,9982.354809220022,-0.00029931869317356696,
2026-07-05 00:00:00+00:00,9985.156809220021,0.0002806952921980965,
2026-07-06 00:00:00+00:00,10016.889459220023,0.003177982139519475,
2026-07-07 00:00:00+00:00,10011.757129220023,-0.0005123676387659426,
2026-07-08 00:00:00+00:00,9999.438028169698,-0.0012304634332739317,
2026-07-09 00:00:00+00:00,9999.438028169698,0.0,
2026-07-10 00:00:00+00:00,9995.581869170697,-0.0003856375716452254,
2026-07-11 00:00:00+00:00,9995.024829170698,-5.5728621634054676e-05,
2026-07-12 00:00:00+00:00,9995.024829170698,0.0,
2026-07-13 00:00:00+00:00,9977.014749170698,-0.001801904478259786,
2026-07-14 00:00:00+00:00,9990.217389170697,0.001323305651231621,
2026-07-15 00:00:00+00:00,9991.795705351235,0.00015798616977535929,
2026-07-16 00:00:00+00:00,10018.440685351236,0.002666685827626747,
2026-07-17 00:00:00+00:00,9998.578724891286,-0.001982540106165609,
2026-07-18 00:00:00+00:00,9992.836974891285,-0.0005742566176637487,-0.44021413801222753
2026-07-19 00:00:00+00:00,9993.788974891286,9.52682408803529e-05,-0.3803566325788013
2026-07-20 00:00:00+00:00,9943.898664083097,-0.004992131706356262,-2.618123296233582
2026-07-21 00:00:00+00:00,9943.898664083097,0.0,-2.618123296233582
2026-07-22 00:00:00+00:00,9943.898664083097,0.0,-2.618123296233582
