timestamp,equity,return,rolling_30d_sharpe
2026-06-19 00:00:00+00:00,10000.0,0.0,
2026-06-20 00:00:00+00:00,10000.0,0.0,
2026-06-21 00:00:00+00:00,10000.0,0.0,
2026-06-22 00:00:00+00:00,10000.0,0.0,
2026-06-23 00:00:00+00:00,10000.0,0.0,
2026-06-24 00:00:00+00:00,10000.0,0.0,
2026-06-25 00:00:00+00:00,10000.0,0.0,
2026-06-26 00:00:00+00:00,10000.0,0.0,
2026-06-27 00:00:00+00:00,10000.0,0.0,
2026-06-28 00:00:00+00:00,10000.0,0.0,
2026-06-29 00:00:00+00:00,10000.0,0.0,
2026-06-30 00:00:00+00:00,10000.0,0.0,
2026-07-01 00:00:00+00:00,10000.0,0.0,
2026-07-02 00:00:00+00:00,9996.042579220022,-0.00039574207799775163,
2026-07-03 00:00:00+00:00,9985.343609220023,-0.0010703205708867403,
2026-07-04 00:00:00+00:00,9982.354809220022,-0.00029931869317356696,
2026-07-05 00:00:00+00:00,9985.156809220021,0.0002806952921980965,
2026-07-06 00:00:00+00:00,10016.889459220023,0.003177982139519475,
2026-07-07 00:00:00+00:00,10011.757129220023,-0.0005123676387659426,
2026-07-08 00:00:00+00:00,9999.438028169698,-0.0012304634332739317,
2026-07-09 00:00:00+00:00,9999.438028169698,0.0,
2026-07-10 00:00:00+00:00,9995.581869170697,-0.0003856375716452254,
2026-07-11 00:00:00+00:00,9995.024829170698,-5.5728621634054676e-05,
2026-07-12 00:00:00+00:00,9995.024829170698,0.0,
2026-07-13 00:00:00+00:00,9977.014749170698,-0.001801904478259786,
2026-07-14 00:00:00+00:00,9990.217389170697,0.001323305651231621,
2026-07-15 00:00:00+00:00,9991.795705351235,0.00015798616977535929,
2026-07-16 00:00:00+00:00,10018.440685351236,0.002666685827626747,
2026-07-17 00:00:00+00:00,9998.578724891286,-0.001982540106165609,
2026-07-18 00:00:00+00:00,9992.836974891285,-0.0005742566176637487,-0.44021413801222753
2026-07-19 00:00:00+00:00,9993.788974891286,9.52682408803529e-05,-0.3803566325788013
2026-07-20 00:00:00+00:00,9954.007274891286,-0.00398064238698137,-2.343817755205043
2026-07-21 00:00:00+00:00,9944.344474891284,-0.0009707447195036467,-2.8206779664610955
2026-07-22 00:00:00+00:00,9951.026324891285,0.000671924631821863,-2.461257544998863
2026-07-23 00:00:00+00:00,9918.810172729036,-0.0032374702980801917,-3.7420636528858946
2026-07-24 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-25 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-26 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-27 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-28 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-29 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-30 00:00:00+00:00,9918.810172729036,0.0,-3.7420636528858946
2026-07-31 00:00:00+00:00,9894.694689822067,-0.0024312878749582767,-4.6799396729424725
2026-08-01 00:00:00+00:00,9909.808109822066,0.0015274266133289416,-3.722676674051236
2026-08-02 00:00:00+00:00,9928.631809822065,0.001899501967282502,-2.3702128905483484
2026-08-03 00:00:00+00:00,9980.023569822066,0.005176117010317505,-0.06554111469493529
2026-08-04 00:00:00+00:00,10080.598449822068,0.010077619486202893,2.370792705460123
2026-08-05 00:00:00+00:00,10052.87949519594,-0.0027497330405633624,0.9083323980862366
2026-08-06 00:00:00+00:00,10040.618693256192,-0.0012196308476201123,0.7312953764645368
2026-08-07 00:00:00+00:00,10040.618693256192,0.0,1.0385127254029693
2026-08-08 00:00:00+00:00,10040.618693256192,0.0,1.0385127254029693
2026-08-09 00:00:00+00:00,10040.618693256192,0.0,1.1344954907791858
2026-08-10 00:00:00+00:00,10040.618693256192,0.0,1.1483244677743136
2026-08-11 00:00:00+00:00,10040.618693256192,0.0,1.1483244677743136
2026-08-12 00:00:00+00:00,10040.618693256192,0.0,1.6099703341228964
2026-08-13 00:00:00+00:00,10040.618693256192,0.0,1.283864962687156
2026-08-14 00:00:00+00:00,10040.618693256192,0.0,1.2442037008235458
2026-08-15 00:00:00+00:00,10040.618693256192,0.0,0.5865810768317077
2026-08-16 00:00:00+00:00,10040.618693256192,0.0,1.1052636037981276
2026-08-17 00:00:00+00:00,10040.618693256192,0.0,1.2552116552280967
